patRIL	chamber	Pre	Learning	Memory	file
11002	2	-0.03333	0.7894	0.2533	1.hbx
11002	4	0.08000	0.8883	0.03000	1.hbx
11002	5	-0.2200	0.7367	0.01222	1.hbx
11002	6	-0.2200	0.6833	0.1667	1.hbx
11002	8	0.1800	0.7233	0.1400	1.hbx
11002	9	0.5133	0.5489	-0.06778	1.hbx
11002	10	-0.1467	0.4522	0.1044	1.hbx
11002	11	-0.08667	0.5611	-0.5389	1.hbx
11002	12	0.1200	0.2889	-0.05556	1.hbx
11002	14	-0.2733	0.5867	0.03667	1.hbx
11002	15	-0.04000	0.4783	0.2356	1.hbx
11002	2	0.04667	0.7833	0.4200	2.hbx
11002	4	-0.1400	0.7822	-0.2689	2.hbx
11002	5	-0.02000	0.6833	0.06111	2.hbx
11002	6	0.1800	0.6083	-0.3044	2.hbx
11002	8	0.04667	0.7217	0.06556	2.hbx
11002	9	-0.04667	0.4394	-0.1167	2.hbx
11002	10	0.06000	0.6372	0.1189	2.hbx
11002	11	1.000	0.9422	0.3900	2.hbx
11002	12	0.2000	0.7378	0.1522	2.hbx
11002	14	-0.2667	0.6194	0.2033	2.hbx
11002	15	-0.3867	0.4061	0.1200	2.hbx
11002	2	1.000	0.9744	0.9989	3.hbx
11002	4	0.04667	0.8428	0.4478	3.hbx
11002	5	0.2933	0.8028	-0.4522	3.hbx
11002	6	-0.1533	0.8367	-0.1922	3.hbx
11002	8	0.1600	0.7061	0.1978	3.hbx
11002	9	1.000	0.7850	-0.3300	3.hbx
11002	10	0.1933	0.4122	0.08556	3.hbx
11002	11	-0.2467	0.9433	0.1211	3.hbx
11002	12	0.2800	0.7861	0.1344	3.hbx
11002	14	-0.3867	0.7367	0.03111	3.hbx
11002	15	-0.4267	0.6478	0.07222	3.hbx
11002	0	-0.3267	0.8317	1.000	11002_001A_6min.hbx
11002	1	-1.000	0.8322	1.000	11002_001A_6min.hbx
11002	4	-1.000	-0.6433	-1.000	11002_001A_6min.hbx
11002	6	1.000	0.2794	1.000	11002_001A_6min.hbx
11002	7	-0.7467	0.7783	1.000	11002_001A_6min.hbx
11002	8	0.5133	0.7772	0.5178	11002_001A_6min.hbx
11002	9	1.000	0.9839	1.000	11002_001A_6min.hbx
11002	11	-0.9733	-0.9906	-1.000	11002_001A_6min.hbx
11002	12	-0.2800	0.5567	-0.1789	11002_001A_6min.hbx
11002	14	0.1467	0.7006	0.4467	11002_001A_6min.hbx
11002	15	0.2400	0.7961	0.6067	11002_001A_6min.hbx
11002	0	0.1133	0.7789	-0.2567	11002_001B_6min.hbx
11002	1	0.04667	0.8650	0.2889	11002_001B_6min.hbx
11002	4	0.6667	0.8894	1.000	11002_001B_6min.hbx
11002	8	-0.4267	0.8978	0.2300	11002_001B_6min.hbx
11002	9	-1.000	0.9194	1.000	11002_001B_6min.hbx
11002	10	-0.2267	0.9506	0.5100	11002_001B_6min.hbx
11002	11	0.1733	0.7778	0.4311	11002_001B_6min.hbx
11002	12	-0.02000	0.8050	-0.1922	11002_001B_6min.hbx
11002	14	-1.000	0.5350	-0.1556	11002_001B_6min.hbx
11002	15	-0.9933	0.8106	-0.8967	11002_001B_6min.hbx
11002	0	-1.000	0.9261	1.000	11002_002A_6min.hbx
11002	1	1.000	0.9733	1.000	11002_002A_6min.hbx
11002	2	0.1333	0.9583	1.000	11002_002A_6min.hbx
11002	6	0.2000	0.7567	1.000	11002_002A_6min.hbx
11002	7	0.1133	0.7872	-0.2944	11002_002A_6min.hbx
11002	8	-0.06000	0.7394	0.6856	11002_002A_6min.hbx
11002	10	1.000	0.8906	1.000	11002_002A_6min.hbx
11002	12	1.000	0.7600	0.7100	11002_002A_6min.hbx
11002	14	-0.1800	0.8933	0.1967	11002_002A_6min.hbx
11002	2	1.000	0.9750	1.000	11002_002B_6min.hbx
11002	4	0.2933	0.8911	-0.01667	11002_002B_6min.hbx
11002	6	1.000	0.9328	1.000	11002_002B_6min.hbx
11002	7	-0.06000	0.9617	1.000	11002_002B_6min.hbx
11002	8	0.9000	0.6378	1.000	11002_002B_6min.hbx
11002	9	-0.6000	0.8956	0.03333	11002_002B_6min.hbx
11002	10	1.000	0.8667	1.000	11002_002B_6min.hbx
11002	12	-1.000	0.8344	1.000	11002_002B_6min.hbx
